from,to
PERSON_0000000177,PERSON_0000000053
PERSON_0000000177,PERSON_0000000131
PERSON_0000000177,PERSON_0000000010
PERSON_0000000177,PERSON_0000000129
PERSON_0000000177,PERSON_0000000110
PERSON_0000000177,PERSON_0000000083
PERSON_0000000977,PERSON_0000000992
PERSON_0000000977,PERSON_0000000475
PERSON_0000000977,PERSON_0000000939
PERSON_0000000977,PERSON_0000000915
PERSON_0000000977,PERSON_0000000191
PERSON_0000000977,PERSON_0000000155
PERSON_0000000977,PERSON_0000000542
PERSON_0000000977,PERSON_0000000648
PERSON_0000000977,PERSON_0000000194
PERSON_0000000977,PERSON_0000000294
PERSON_0000000977,PERSON_0000000557
PERSON_0000000977,PERSON_0000000928
PERSON_0000000977,PERSON_0000000120
PERSON_0000000167,PERSON_0000000760
PERSON_0000000167,PERSON_0000000940
PERSON_0000000167,PERSON_0000000909
PERSON_0000000167,PERSON_0000000904
PERSON_0000000167,PERSON_0000000883
PERSON_0000000167,PERSON_0000000875
PERSON_0000000167,PERSON_0000000871
PERSON_0000000167,PERSON_0000000805
PERSON_0000000167,PERSON_0000000803
PERSON_0000000167,PERSON_0000000943
PERSON_0000000167,PERSON_0000000690
PERSON_0000000167,PERSON_0000000549
PERSON_0000000167,PERSON_0000000541
PERSON_0000000167,PERSON_0000000482
PERSON_0000000167,PERSON_0000000452
PERSON_0000000167,PERSON_0000000394
PERSON_0000000167,PERSON_0000000368
PERSON_0000000167,PERSON_0000000362
PERSON_0000000167,PERSON_0000000191
PERSON_0000000167,PERSON_0000000560
PERSON_0000000167,PERSON_0000000023
PERSON_0000000167,PERSON_0000000089
PERSON_0000000167,PERSON_0000000033
PERSON_0000000760,PERSON_0000000798
PERSON_0000000760,PERSON_0000000822
PERSON_0000000760,PERSON_0000000938
PERSON_0000000760,PERSON_0000000981
PERSON_0000000760,PERSON_0000000451
PERSON_0000000760,PERSON_0000000200
PERSON_0000000760,PERSON_0000000001
PERSON_0000000760,PERSON_0000000273
PERSON_0000000760,PERSON_0000000616
PERSON_0000000760,PERSON_0000000227
PERSON_0000000760,PERSON_0000000387
PERSON_0000000760,PERSON_0000000097
PERSON_0000000760,PERSON_0000000211
PERSON_0000000760,PERSON_0000000189
PERSON_0000000760,PERSON_0000000167
PERSON_0000000760,PERSON_0000000609
PERSON_0000000760,PERSON_0000000401
PERSON_0000000760,PERSON_0000000073
PERSON_0000000760,PERSON_0000000063
PERSON_0000000760,PERSON_0000000411
PERSON_0000000950,PERSON_0000000955
PERSON_0000000950,PERSON_0000000573
PERSON_0000000950,PERSON_0000000938
PERSON_0000000950,PERSON_0000000328
PERSON_0000000950,PERSON_0000000674
PERSON_0000000950,PERSON_0000000800
PERSON_0000000950,PERSON_0000000756
PERSON_0000000950,PERSON_0000000730
PERSON_0000000950,PERSON_0000000839
PERSON_0000000950,PERSON_0000000173
PERSON_0000000950,PERSON_0000000018
PERSON_0000000950,PERSON_0000000829
PERSON_0000000950,PERSON_0000000626
PERSON_0000000950,PERSON_0000000759
PERSON_0000000950,PERSON_0000000401
PERSON_0000000950,PERSON_0000000195
PERSON_0000000950,PERSON_0000000271
PERSON_0000000950,PERSON_0000000598
PERSON_0000000950,PERSON_0000000163
PERSON_0000000950,PERSON_0000000687
PERSON_0000000950,PERSON_0000000500
PERSON_0000000950,PERSON_0000000331
PERSON_0000000950,PERSON_0000000944
PERSON_0000000950,PERSON_0000000444
PERSON_0000000950,PERSON_0000000304
PERSON_0000000950,PERSON_0000000017
PERSON_0000000950,PERSON_0000000596
PERSON_0000000812,PERSON_0000000896
PERSON_0000000812,PERSON_0000000925
PERSON_0000000812,PERSON_0000000955
PERSON_0000000812,PERSON_0000000070
PERSON_0000000812,PERSON_0000000714
PERSON_0000000812,PERSON_0000000769
PERSON_0000000812,PERSON_0000000557
PERSON_0000000812,PERSON_0000000383
PERSON_0000000812,PERSON_0000000078
PERSON_0000000812,PERSON_0000000087
PERSON_0000000812,PERSON_0000000426
PERSON_0000000812,PERSON_0000000073
PERSON_0000000812,PERSON_0000000173
PERSON_0000000812,PERSON_0000000046
PERSON_0000000812,PERSON_0000000110
PERSON_0000000812,PERSON_0000000239
PERSON_0000000812,PERSON_0000000772
PERSON_0000000812,PERSON_0000000653
PERSON_0000000812,PERSON_0000000597
PERSON_0000000812,PERSON_0000000670
PERSON_0000000812,PERSON_0000000793
PERSON_0000000812,PERSON_0000000563
PERSON_0000000953,PERSON_0000000963
PERSON_0000000953,PERSON_0000000854
PERSON_0000000953,PERSON_0000000900
PERSON_0000000953,PERSON_0000000172
PERSON_0000000953,PERSON_0000000184
PERSON_0000000953,PERSON_0000000233
PERSON_0000000953,PERSON_0000000265
PERSON_0000000953,PERSON_0000000033
PERSON_0000000953,PERSON_0000000671
PERSON_0000000953,PERSON_0000000157
PERSON_0000000953,PERSON_0000000082
PERSON_0000000807,PERSON_0000000944
PERSON_0000000807,PERSON_0000000934
PERSON_0000000807,PERSON_0000000885
PERSON_0000000807,PERSON_0000000256
PERSON_0000000807,PERSON_0000000170
PERSON_0000000807,PERSON_0000000505
PERSON_0000000807,PERSON_0000000590
PERSON_0000000807,PERSON_0000000091
PERSON_0000000807,PERSON_0000000404
PERSON_0000000807,PERSON_0000000750
PERSON_0000000807,PERSON_0000000563
PERSON_0000000807,PERSON_0000000248
PERSON_0000000807,PERSON_0000000534
PERSON_0000000807,PERSON_0000000618
PERSON_0000000807,PERSON_0000000058
PERSON_0000000807,PERSON_0000000471
PERSON_0000000807,PERSON_0000000224
PERSON_0000000807,PERSON_0000000707
PERSON_0000000807,PERSON_0000000326
PERSON_0000000807,PERSON_0000000629
PERSON_0000000807,PERSON_0000000699
PERSON_0000000807,PERSON_0000000586
PERSON_0000000807,PERSON_0000000573
PERSON_0000000415,PERSON_0000000980
PERSON_0000000415,PERSON_0000000895
PERSON_0000000415,PERSON_0000000889
PERSON_0000000415,PERSON_0000000822
PERSON_0000000415,PERSON_0000000813
PERSON_0000000415,PERSON_0000000782
PERSON_0000000415,PERSON_0000000725
PERSON_0000000415,PERSON_0000000722
PERSON_0000000415,PERSON_0000000717
PERSON_0000000415,PERSON_0000000645
PERSON_0000000415,PERSON_0000000583
PERSON_0000000415,PERSON_0000000644
PERSON_0000000415,PERSON_0000000565
PERSON_0000000415,PERSON_0000000555
PERSON_0000000415,PERSON_0000000508
PERSON_0000000415,PERSON_0000000498
PERSON_0000000415,PERSON_0000000455
PERSON_0000000415,PERSON_0000000421
PERSON_0000000415,PERSON_0000000673
PERSON_0000000415,PERSON_0000000071
PERSON_0000000415,PERSON_0000000135
PERSON_0000000415,PERSON_0000000101
PERSON_0000000415,PERSON_0000000323
PERSON_0000000415,PERSON_0000000244
PERSON_0000000415,PERSON_0000000194
PERSON_0000000819,PERSON_0000000870
PERSON_0000000819,PERSON_0000000889
PERSON_0000000819,PERSON_0000000954
PERSON_0000000819,PERSON_0000000132
PERSON_0000000819,PERSON_0000000784
PERSON_0000000819,PERSON_0000000473
PERSON_0000000819,PERSON_0000000036
PERSON_0000000819,PERSON_0000000757
PERSON_0000000819,PERSON_0000000483
PERSON_0000000819,PERSON_0000000214
PERSON_0000000819,PERSON_0000000631
PERSON_0000000819,PERSON_0000000122
PERSON_0000000819,PERSON_0000000088
PERSON_0000000819,PERSON_0000000804
PERSON_0000000819,PERSON_0000000479
PERSON_0000000819,PERSON_0000000409
PERSON_0000000819,PERSON_0000000060
PERSON_0000000819,PERSON_0000000706
PERSON_0000000819,PERSON_0000000424
PERSON_0000000819,PERSON_0000000634
PERSON_0000000819,PERSON_0000000461
PERSON_0000000870,PERSON_0000000937
PERSON_0000000870,PERSON_0000000971
PERSON_0000000870,PERSON_0000000988
PERSON_0000000870,PERSON_0000000997
PERSON_0000000870,PERSON_0000000119
PERSON_0000000870,PERSON_0000000531
PERSON_0000000870,PERSON_0000000111
PERSON_0000000870,PERSON_0000000388
PERSON_0000000870,PERSON_0000000722
PERSON_0000000870,PERSON_0000000566
PERSON_0000000870,PERSON_0000000819
PERSON_0000000870,PERSON_0000000509
PERSON_0000000870,PERSON_0000000466
PERSON_0000000870,PERSON_0000000183
PERSON_0000000870,PERSON_0000000313
PERSON_0000000870,PERSON_0000000072
PERSON_0000000870,PERSON_0000000395
PERSON_0000000870,PERSON_0000000795
PERSON_0000000870,PERSON_0000000712
PERSON_0000000870,PERSON_0000000090
PERSON_0000000870,PERSON_0000000099
PERSON_0000000870,PERSON_0000000141
PERSON_0000000870,PERSON_0000000245
PERSON_0000000293,PERSON_0000000678
PERSON_0000000293,PERSON_0000000673
PERSON_0000000293,PERSON_0000000576
PERSON_0000000293,PERSON_0000000566
PERSON_0000000293,PERSON_0000000468
PERSON_0000000293,PERSON_0000000504
PERSON_0000000293,PERSON_0000000393
PERSON_0000000293,PERSON_0000000373
PERSON_0000000293,PERSON_0000000361
PERSON_0000000293,PERSON_0000000332
PERSON_0000000293,PERSON_0000000413
PERSON_0000000293,PERSON_0000000214
PERSON_0000000293,PERSON_0000000175
PERSON_0000000293,PERSON_0000000289
PERSON_0000000293,PERSON_0000000199
PERSON_0000000293,PERSON_0000000044
PERSON_0000000482,PERSON_0000000791
PERSON_0000000482,PERSON_0000000975
PERSON_0000000482,PERSON_0000000946
PERSON_0000000482,PERSON_0000000940
PERSON_0000000482,PERSON_0000000900
PERSON_0000000482,PERSON_0000000894
PERSON_0000000482,PERSON_0000000840
PERSON_0000000482,PERSON_0000000789
PERSON_0000000482,PERSON_0000000496
PERSON_0000000482,PERSON_0000000733
PERSON_0000000482,PERSON_0000000550
PERSON_0000000482,PERSON_0000000552
PERSON_0000000482,PERSON_0000000743
PERSON_0000000482,PERSON_0000000565
PERSON_0000000482,PERSON_0000000579
PERSON_0000000482,PERSON_0000000563
PERSON_0000000482,PERSON_0000000069
PERSON_0000000482,PERSON_0000000167
PERSON_0000000482,PERSON_0000000424
PERSON_0000000482,PERSON_0000000241
PERSON_0000000482,PERSON_0000000348
PERSON_0000000482,PERSON_0000000052
PERSON_0000000482,PERSON_0000000197
PERSON_0000000482,PERSON_0000000188
PERSON_0000000482,PERSON_0000000264
PERSON_0000000482,PERSON_0000000430
PERSON_0000000482,PERSON_0000000121
PERSON_0000000482,PERSON_0000000195
PERSON_0000000482,PERSON_0000000393
PERSON_0000000169,PERSON_0000000896
PERSON_0000000169,PERSON_0000000679
PERSON_0000000169,PERSON_0000000505
PERSON_0000000169,PERSON_0000000223
PERSON_0000000169,PERSON_0000000642
PERSON_0000000169,PERSON_0000000002
PERSON_0000000169,PERSON_0000000013
PERSON_0000000169,PERSON_0000000102
PERSON_0000000521,PERSON_0000000538
PERSON_0000000521,PERSON_0000000664
PERSON_0000000521,PERSON_0000000679
PERSON_0000000521,PERSON_0000000685
PERSON_0000000521,PERSON_0000000698
PERSON_0000000521,PERSON_0000000795
PERSON_0000000521,PERSON_0000000893
PERSON_0000000521,PERSON_0000000142
PERSON_0000000521,PERSON_0000000505
PERSON_0000000521,PERSON_0000000261
PERSON_0000000521,PERSON_0000000116
PERSON_0000000521,PERSON_0000000050
PERSON_0000000521,PERSON_0000000024
PERSON_0000000521,PERSON_0000000321
PERSON_0000000521,PERSON_0000000202
PERSON_0000000521,PERSON_0000000280
PERSON_0000000521,PERSON_0000000072
PERSON_0000000521,PERSON_0000000284
PERSON_0000000521,PERSON_0000000463
PERSON_0000000521,PERSON_0000000039
PERSON_0000000521,PERSON_0000000156
PERSON_0000000521,PERSON_0000000081
PERSON_0000000273,PERSON_0000000760
PERSON_0000000273,PERSON_0000000764
PERSON_0000000273,PERSON_0000000782
PERSON_0000000273,PERSON_0000000889
PERSON_0000000273,PERSON_0000000968
PERSON_0000000273,PERSON_0000000922
PERSON_0000000273,PERSON_0000000997
PERSON_0000000273,PERSON_0000000744
PERSON_0000000273,PERSON_0000000893
PERSON_0000000273,PERSON_0000000696
PERSON_0000000273,PERSON_0000000715
PERSON_0000000273,PERSON_0000000677
PERSON_0000000273,PERSON_0000000278
PERSON_0000000273,PERSON_0000000339
PERSON_0000000273,PERSON_0000000387
PERSON_0000000273,PERSON_0000000403
PERSON_0000000273,PERSON_0000000307
PERSON_0000000273,PERSON_0000000531
PERSON_0000000273,PERSON_0000000590
PERSON_0000000273,PERSON_0000000614
PERSON_0000000273,PERSON_0000000433
PERSON_0000000273,PERSON_0000000105
PERSON_0000000273,PERSON_0000000212
PERSON_0000000273,PERSON_0000000023
PERSON_0000000273,PERSON_0000000217
PERSON_0000000273,PERSON_0000000101
PERSON_0000000273,PERSON_0000000183
PERSON_0000000129,PERSON_0000000981
PERSON_0000000129,PERSON_0000000862
PERSON_0000000129,PERSON_0000000856
PERSON_0000000129,PERSON_0000000843
PERSON_0000000129,PERSON_0000000614
PERSON_0000000129,PERSON_0000000804
PERSON_0000000129,PERSON_0000000802
PERSON_0000000129,PERSON_0000000795
PERSON_0000000129,PERSON_0000000780
PERSON_0000000129,PERSON_0000000779
PERSON_0000000129,PERSON_0000000755
PERSON_0000000129,PERSON_0000000838
PERSON_0000000129,PERSON_0000000613
PERSON_0000000129,PERSON_0000000573
PERSON_0000000129,PERSON_0000000177
PERSON_0000000129,PERSON_0000000211
PERSON_0000000129,PERSON_0000000590
PERSON_0000000129,PERSON_0000000291
PERSON_0000000129,PERSON_0000000319
PERSON_0000000129,PERSON_0000000265
PERSON_0000000129,PERSON_0000000384
PERSON_0000000129,PERSON_0000000447
PERSON_0000000129,PERSON_0000000530
PERSON_0000000129,PERSON_0000000542
PERSON_0000000129,PERSON_0000000562
PERSON_0000000129,PERSON_0000000355
PERSON_0000000799,PERSON_0000000836
PERSON_0000000799,PERSON_0000000862
PERSON_0000000799,PERSON_0000000919
PERSON_0000000799,PERSON_0000000995
PERSON_0000000799,PERSON_0000000998
PERSON_0000000799,PERSON_0000000022
PERSON_0000000799,PERSON_0000000128
PERSON_0000000799,PERSON_0000000480
PERSON_0000000799,PERSON_0000000532
PERSON_0000000799,PERSON_0000000191
PERSON_0000000799,PERSON_0000000737
PERSON_0000000799,PERSON_0000000586
PERSON_0000000799,PERSON_0000000708
PERSON_0000000799,PERSON_0000000094
PERSON_0000000799,PERSON_0000000534
PERSON_0000000799,PERSON_0000000006
PERSON_0000000799,PERSON_0000000592
PERSON_0000000033,PERSON_0000000544
PERSON_0000000033,PERSON_0000000960
PERSON_0000000033,PERSON_0000000953
PERSON_0000000033,PERSON_0000000924
PERSON_0000000033,PERSON_0000000837
PERSON_0000000033,PERSON_0000000831
PERSON_0000000033,PERSON_0000000730
